BOP_ID	ATS_CODE	BOP_NAME	DOE_NAME	NYCOD_NAME	HEATHER_DID_IT_FIRST	TYPE_OF_SCHOOL	ADDRESS_1	NEIGHBORHOOD	CITY	STATE	ZIP	COMMUNITY_BOARD	COUNCIL_DISTRICT	PRINCIPAL	PRINCIPAL_PHONE
5737437f117a5467af67970f	75K371	371K Lillian Rashkis	P.S. 371 - Lillian L. Rashkis	P.S. 371 - Lillian L. Rashkis	yes	NYC Public	355 37 STREET	Sunset Park West	BROOKLYN	NY	11232	307	38	JOAN ANTONELLI	718-788-7608
5834ada8e5b1443821082af4	32K554	ALL CITY LEADERSHIP SECONDARY SCHOOL	All City Leadership Secondary School	All City Leadership Secondary School	yes	NYC Public	321 PALMETTO STREET	Bushwick North	BROOKLYN	NY	11237	304	37	ELVIS ESTEVEZ	718-246-6500
586d4b89195c49c15ebeecff	30Q235	Academy for New Americans	Academy for New Americans	Academy for New Americans	no	NYC Public	30-14 30 STREET	Old Astoria	QUEENS	NY	11102	401	22	Betty Cartagena	718-956-4140
59d29ad3d9e02459790582d7	13K492	Academy of Arts and Letters	Academy of Arts and Letters	Academy of Arts and Letters	yes	NYC Public	225 ADELPHI STREET	Fort Greene	BROOKLYN	NY	11205	302	35	John Oreilly	718-222-1605
5891f39958dc86ad76329ee1	12X341	Accion Academy	Accion Academy	Accion Academy	yes	NYC Public	1825 PROSPECT AVENUE	East Tremont	BRONX	NY	10457	206	17	Rajendra Jimenez Jailall	718-294-0514
5737437f117a5467af679707		American Museum of Natural History			unsure										
582c6e58c9c665590e1026c2		Apex for Youth, Inc.			unsure										
5877ab5bd1b4f2e23897242c		Avenues The World School			unsure										
5834ad6ee5b1443821082af2	23K664	BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)	Brooklyn Environmental Exploration School (BEES)	Brooklyn Environmental Exploration School (BEES)	no	NYC Public	251 MAC DOUGAL STREET	Ocean Hill	BROOKLYN	NY	11233	316	37	Craig Garber	718-453-3039
57d426f3617bf9c536f37caa	01M696	Bard High School Early College	Bard High School Early College	Bard High School Early College	no	NYC Public	525 EAST HOUSTON STREET	Lower East Side	MANHATTAN	NY	10002	103	2	MICHAEL LERNER	212-995-8479
589debef6265cd7c5718e878		Barnard College			unsure										
59b98656afdf4c6a8fa53425	21K098	Bay Academy	I.S. 98 Bay Academy	I.S. 98 Bay Academy	yes	NYC Public	1401 EMMONS AVENUE	Sheepshead Bay-Gerritsen Beach-Manhattan Beach	BROOKLYN	NY	11235	315	48	MARIA TIMO	718-891-9005
571f6f3181ab586140097247		Billion Oyster Project			unsure										
58c17c6b5d59018870f3b0d9		BioBus			unsure										
57d431b7617bf9c536f37d3b	08X537	Bronx Arena High School	Bronx Arena High School	Bronx Haven High School	no	NYC Public	333 EAST 151 STREET	Melrose South-Mott Haven North	BRONX	NY	10451	201	17	Jazmin Rivera-Polanco	718-292-3638
5737437f117a5467af67970b	09X260	Bronx Center for Science and Mathematics	Bronx Center for Science and Mathematics	Manhattan Center for Science and Mathematics	no	NYC Public	260 PLEASANT AVENUE	East Harlem North	MANHATTAN	NY	10029	111	8	JOSE JIMENEZ	212-876-4639
57d43130617bf9c536f37d33	10X351	Bronx Collaborative High School	Bronx Collaborative High School	Gotham Collaborative High School	no	NYC Public	1980 LAFAYETTE AVENUE	Soundview-Castle Hill-Clason Point-Harding Park	BRONX	NY	10473	209	18	David Liu	718-597-1587
57f7bf1da0481a080d096df1	08X375	Bronx Math Prep			unsure										
5737437f117a5467af679708		Brooklyn Bridge Park			unsure										
5737437f117a5467af679709		Brooklyn Friends			unsure										
57f7bf0107232ef20c7310e1	15K146	Brooklyn New School / PS 146	The Brooklyn New School, P.S. 146	The Brooklyn New School, P.S. 146	yes	NYC Public	610 HENRY STREET	Carroll Gardens-Columbia Street-Red Hook	BROOKLYN	NY	11231	306	39	ANNA ALLANBROOK	718-923-4750
57f7c4818fc301470d44407a	15K146	Brooklyn New School /PS 146	The Brooklyn New School, P.S. 146	The Brooklyn New School, P.S. 146	yes	NYC Public	610 HENRY STREET	Carroll Gardens-Columbia Street-Red Hook	BROOKLYN	NY	11231	306	39	ANNA ALLANBROOK	718-923-4750
5737437f117a5467af67970a	15K448	Brooklyn School for Collaborative Studies, 448	Brooklyn Secondary School for Collaborative Studies	Brooklyn Secondary School for Collaborative Studie	yes	NYC Public	610 HENRY STREET	Carroll Gardens-Columbia Street-Red Hook	BROOKLYN	NY	11231	306	39	Priscilla Chan	718-923-4700
59a5c93ecf6a2a0607619ca7	84K758	Brooklyn Urban Garden Charter School	Brooklyn Ascend Charter School	Brooklyn Ascend Charter School	no	Charter	205 Rockaway Parkway	Brownsville	BROOKLYN	NY	11212	317	41	Janna Genzlinger/Johana Andujar	718-240-9162
58dd098fc6f0027a0e28bce6		CUNY Brooklyn College			unsure										
5737437f117a5467af679712		CUNY Queens College			unsure										
599253065025d77159ad7693	11X127	Castle Hill MIddle School 127			unsure										
5737437f117a5467af67970c	04M497	Central Park East 2	Central Park East I	Central Park East I	no	NYC Public	1573 MADISON AVENUE	East Harlem South	MANHATTAN	NY	10029	111	8	Feldberg, Gabriel	212-860-5821
5891edb858dc86ad76329ebc		City Parks Foundation			unsure										
59df6b697ab0680f7bf8b047	02M560	City-As-School			unsure										
57796ba4142d10a9264d6842		Clarkson University			unsure										
593c3d919114f10f5fdb3402		Cold Spring Harbor High School			unsure										
5737437f117a5467af67970d		Columbia University, Lamont Doherty Earth Observatory			unsure										
5737437f117a5467af67970e	84K789	Compass Charter School	Compass Charter School	Roads Charter School I	no	Charter	300 ADELPHI STREET	Fort Greene	BROOKLYN	NY	11205	302	35	Brooke Peters	212-437-8372
59dfade77ab0680f7bf8c474		Convent of the Sacred Heart			unsure										
59fa054660ad0c0faf09f93a		Convent of the Sacred Heart			unsure										
58790415cc0ff6e83807f8ba		Cooke Center Academy			unsure										
58508773f232b5177eb8e4ec		Cornell University			unsure										
57d4202af4c114790ec33518		Cranbury School			unsure										
5737437f117a5467af679710		Crave Fishbar			unsure										
5737437f117a5467af679711		Cultural Research Divers			unsure										
5737437f117a5467af679713	31R450	Curtis High School	Curtis High School	Curtis High School	no	NYC Public	105 HAMILTON AVENUE	West New Brighton-New Brighton-St. George	STATEN ISLAND	NY	10301	501	49	Gregory Jaenicke	718-390-1800
5737437f117a5467af679714		DCTV			unsure										
59c9086be3e6892d8be65d58		DNA Learning Center			unsure										
5a29e15b1b84717c22f94415	10X440	DeWitt Clinton High School	DeWitt Clinton High School	DeWitt Clinton High School	no	NYC Public	100 WEST MOSHOLU PARKWAY SOUTH	Van Cortlandt Village	BRONX	NY	10468	207	11	Pierre Orbe	718-543-1000
5891c9f958dc86ad76329e84		District 75 STEM Department			unsure										
5833503c262e956b0eb38a4b	20K062	Ditmas IS62			unsure										
5737437f117a5467af679717	13K265	Dr. Susan S. McKinney Secondary School of the Arts (13K265)	Dr. Susan S. McKinney Secondary School of the Arts	Dr. Susan S. McKinney Secondary School of the Arts	yes	NYC Public	101 PARK AVENUE	Fort Greene	BROOKLYN	NY	11205	302	35	Michael Walker	718-834-6760
5925a82a551848fd0ebcc6a9	12X271	East Bronx Academy for the Future	West Bronx Academy for the Future	West Bronx Academy for the Future	no	NYC Public	500 EAST FORDHAM ROAD	Belmont	BRONX	NY	10458	206	15	WILPER MORALES	718-563-7139
5737437f117a5467af679715		Edible Manhattan			unsure										
5737437f117a5467af679716		Elmont Memorial High School			unsure										
587cc7ffcc0ff6e83807f8e5		Eltingville Lutheran School			unsure										
588bfcc558dc86ad76329d98		Emerald Coastkeeper			unsure										
5737437f117a5467af67971a		Empire Dragon Boat			unsure										
582de80a22c56c842c9ffc7e		Ethical Culture Fieldston School			unsure										
58861040cc0ff6e83807f9e0		Ethical Culture Fieldston School			unsure										
571e1dfe7ff397655dbdc0d6		Fearless			unsure										
58991cd35841178c42e47fbf	22K207	Fillmore Academy @ PS 207	P.S. 207 Elizabeth G. Leary		unsure										
58e8da9dec3f74820e73801b		Fire Lotus Temple			unsure										
58eea912e23a596b0e4e56f5		Fire Lotus Temple			unsure										
5737437f117a5467af679718	25Q263	Flushing International High School	Bronx International High School	Bronx International High School	no	NYC Public	1110 BOSTON ROAD	Morrisania-Melrose	BRONX	NY	10456	203	16	Socrates Ortiz	718-620-1053
