BOP_ID	ATS_CODE	Duplicate of	BOP_NAME	DOE_NAME	Org_Type	TYPE_OF_SCHOOL		ADDRESS_1	NEIGHBORHOOD	CITY	STATE	ZIP	COMMUNITY_BOARD	COUNCIL_DISTRICT	PRINCIPAL	PRINCIPAL_PHONE
586d4b89195c49c15ebeecff	30Q235		Academy for New Americans	Academy for New Americans	School	NYC Public		30-14 30 STREET	Old Astoria	QUEENS	NY	11102	401	22	Betty Cartagena	718-956-4140
59d29ad3d9e02459790582d7	13K492		Academy of Arts and Letters	Academy of Arts and Letters	School	NYC Public		225 ADELPHI STREET	Fort Greene	BROOKLYN	NY	11205	302	35	John Oreilly	718-222-1605
5891f39958dc86ad76329ee1	12X341		Accion Academy	Accion Academy	School	NYC Public		1825 PROSPECT AVENUE	East Tremont	BRONX	NY	10457	206	17	Rajendra Jimenez Jailall	718-294-0514
5834ab46e5b1443821082aea	30Q126		IS 126 ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS	Albert Shanker School for Visual and Performing Arts	School	NYC Public		31-51 21 STREET	Astoria	QUEENS	NY	11106	401	22	ALEXANDER ANGUEIRA	718-274-8316
582f866a47f5770b28c9c6b6	30Q126	5834ab46e5b1443821082aea	IS 126Q	Albert Shanker School for Visual and Performing Arts	School	NYC Public		31-51 21 STREET	Astoria	QUEENS	NY	11106	401	22	ALEXANDER ANGUEIRA	718-274-8316
582f867047f5770b28c9c6b8	30Q126	5834ab46e5b1443821082aea	IS 126Q	Albert Shanker School for Visual and Performing Arts	School	NYC Public		31-51 21 STREET	Astoria	QUEENS	NY	11106	401	22	ALEXANDER ANGUEIRA	718-274-8316
5834ada8e5b1443821082af4	32K554		ALL CITY LEADERSHIP SECONDARY SCHOOL	All City Leadership Secondary School	School	NYC Public		321 PALMETTO STREET	Bushwick North	BROOKLYN	NY	11237	304	37	ELVIS ESTEVEZ	718-246-6500
57d426f3617bf9c536f37caa	01M696		Bard High School Early College	Bard High School Early College	School	NYC Public		525 EAST HOUSTON STREET	Lower East Side	MANHATTAN	NY	10002	103	2	MICHAEL LERNER	212-995-8479
5737437f117a5467af679754	02M276		PS/IS 276 Battery Park Community School	Battery Park City School	School	NYC Public		55 BATTERY PLACE	Battery Park City-Lower Manhattan	MANHATTAN	NY	10280	101	1	Theresa Ruyter	212-266-5800
57d431b7617bf9c536f37d3b	08X537		Bronx Arena High School	Bronx Arena High School	School	NYC Public		1440 STORY AVENUE	Soundview-Castle Hill-Clason Point-Harding Park	BRONX	NY	10473	209	17	Ty Cesene	718-860-5056
5737437f117a5467af67970b	09X260		Bronx Center for Science and Mathematics	Bronx Center for Science and Mathematics	School	NYC Public		1363 FULTON AVENUE	Claremont-Bathgate	BRONX	NY	10456	203	16	EDWARD TOM	718-992-7089
57d43130617bf9c536f37d33	10X351		Bronx Collaborative High School	Bronx Collaborative High School	School	NYC Public		100 WEST MOSHOLU PARKWAY SOUTH	Van Cortlandt Village	BRONX	NY	10468	207	11	Brett Schneider	718-543-1023
5834ad6ee5b1443821082af2	23K664		BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)	Brooklyn Environmental Exploration School (BEES)	School	NYC Public		251 MAC DOUGAL STREET	Ocean Hill	BROOKLYN	NY	11233	316	37	Craig Garber	718-453-3039
5737437f117a5467af67970a	15K448		Brooklyn School for Collaborative Studies, 448	Brooklyn Secondary School for Collaborative Studies	School	NYC Public		610 HENRY STREET	Carroll Gardens-Columbia Street-Red Hook	BROOKLYN	NY	11231	306	39	Priscilla Chan	718-923-4700
59a5c93ecf6a2a0607619ca7	84K758		Brooklyn Urban Garden Charter School	Brooklyn Urban Garden Charter School	School	Charter		500 19TH STREET	Windsor Terrace	BROOKLYN	NY	11215	307	38	Linda Rosenbury	718-280-9556
5737437f117a5467af67970c	04M964		Central Park East 2	Central Park East I	School	NYC Public		1573 MADISON AVENUE	East Harlem South	MANHATTAN	NY	10029	111	8	Feldberg, Gabriel	212-860-5821
5834ae5ae5b1443821082af6	06M328		M.S. 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY	Community Math & Science Prep	School	NYC Public		401 WEST 164 STREET	Washington Heights South	MANHATTAN	NY	10032	112	10	Olga Quiles	917-521-2508
5737437f117a5467af67970e	84K789		Compass Charter School	Compass Charter School	School	Charter		300 ADELPHI STREET	Fort Greene	BROOKLYN	NY	11205	302	35	Brooke Peters	212-437-8372
5737437f117a5467af679713	31R450		Curtis High School	Curtis High School	School	NYC Public		105 HAMILTON AVENUE	West New Brighton-New Brighton-St. George	STATEN ISLAND	NY	10301	501	49	Gregory Jaenicke	718-390-1800
5a29e15b1b84717c22f94415	10X440		DeWitt Clinton High School	DeWitt Clinton High School	School	NYC Public		100 WEST MOSHOLU PARKWAY SOUTH	Van Cortlandt Village	BRONX	NY	10468	207	11	Pierre Orbe	718-543-1000
