Official DOE Name	Organization	Type of School	Street	City	State	Teams	Total team leads	Total team members	Expeditions created	Expeditions published	Lessons viewed	Lessons logged	Lessons reviewed	Lessons created (forked or new)	Total research posters published by all team members	Total research posters published by all team leads	Events registered	Events attended
	National Science Foundation		4201 Wilson Blvd	Arlington	VA	1	2	2	0	0	0	0	0	0	1	0	0	0
Young Women's Leadership School, Astoria	The Young Women's Leadership School of Astoria	NYC public	2315 Newtown Avenue	Astoria	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Fearless		8 Market Place, Suite 304	Baltimore	MD	0	1	0	0	0	4	0	0	0	0	0	0	0
P.S. 031 Bayside	P.S.31Q The Bayside School		211-45 46th Road	Bayside	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	PS147		332 Frederick avenue	Bellmore	NY	1	2	0	0	0	0	0	0	0	0	0	1	1
Bronx Center for Science and Mathematics	Bronx Center for Science and Mathematics		1363 Fulton Ave	Bronx	NY	1	2	3	2	0	0	0	0	0	0	0	0	0
	Rocking the Boat		812 Edgewater Rd	Bronx	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
South Bronx Preparatory: A College Board School	South Bronx Preparatory		360 E 145th St	Bronx	New York	2	4	0	0	0	0	0	0	0	0	0	1	0
P.S. 071 Rose E. Scala	Rose E. Scala P.S.071		3040 Roberts Ave	Bronx	NY	2	4	18	8	7	9	0	0	0	0	0	4	2
J. M. Rapport School Career Development	JM Rapport School for Career Development 754x		470 Jackson Ave	Bronx	NY	3	6	0	0	0	0	0	0	0	0	0	3	1
M.S. 390	MS 390		1930 Andrews Avenue	BRONX	NY	2	4	1	3	0	11	0	4	0	0	0	5	3
Accion Academy	Accion Academy		1825 Prospect AVe	Bronx	New York	1	2	0	0	0	15	1	0	0	0	0	12	7
Thomas C. Giordano Middle School 45	MS 45 THOMAS C. GIORDANO		2502 LORILLARD PLACE	Bronx	New York	0	0	0	0	0	0	0	0	0	0	0	0	0
J.H.S. 127 The Castle Hill	Castle Hill MIddle School 127		1560 Purdy Street	Bronx	NY	1	1	0	0	0	2	0	0	0	0	0	0	0
World View High School	World View High School		100 West Mosholu Parkway South	Bronx	NY	1	1	0	0	0	0	0	0	0	0	0	1	1
Bronx Arena High School	Bronx Arena High School		1440 Story Ave	Bronx	NY	1	2	1	0	0	0	0	0	0	0	0	0	0
Soundview Academy for Culture and Scholarship	Sound view Academy-08X448		885 Bolton Ave	Bronx	NY	1	4	1	0	0	12	0	0	0	0	0	3	1
The Bronx Mathematics Preparatory School	Bronx Math Prep		456 White Plains Rd	Bronx	NY	0	1	0	0	0	0	0	0	0	0	0	0	0
Pelham Preparatory Academy	Pelham Preparatory Academy		925 Astor Ave	Bronx	New York	1	2	0	1	1	25	0	0	0	0	0	14	12
East Bronx Academy for the Future	East Bronx Academy for the Future		1716 Southern Blvd	Bronx	NY	1	2	0	0	0	0	0	0	0	0	0	1	0
	Villa Maria Academy		3335 Country Club Road	Bronx	NEW YORK	2	4	0	0	0	0	0	0	0	0	0	2	1
International School for Liberal Arts	The International School for Liberal Arts MS/HS 342		2780 Reservoir Ave	Bronx	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	International School for Liberal Art		2780 Reservoir Avenue	Bronx	NY	1	4	0	5	5	55	0	0	0	0	0	2	2
	Riverdale Country School		5250 Fieldston Road, Bronx, NY	Bronx	New York	1	2	14	1	0	1	0	0	0	0	0	0	0
P.S. 008 Robert Fulton	P.S. 8		37 Hicks St.	Brooklyn	New York	1	2	0	0	0	0	0	0	0	0	0	2	0
	Xaverian High School		7100 Shore	Brooklyn	New York	1	2	0	0	0	1	0	0	0	0	0	0	0
J.H.S. 220 John J. Pershing	J.H.S. 220 JOHN J. PERSHING		4812 9TH AVENUE	Brooklyn	New York	7	12	2	0	0	0	0	0	0	0	0	2	0
	Po Kwan Ho		1113 73rd. Street	Brooklyn	NEW YORK	1	2	0	0	0	0	0	0	0	0	0	1	0
P.S. 207 Elizabeth G. Leary	Fillmore Academy @ PS 207		4011 Fillmore Ave	Brooklyn	NY	1	2	0	0	0	0	0	0	0	0	0	12	4
	Packer Collegiate Institute		170 Joralemon Street	Brooklyn	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
