name	bodyOfWater	boroughCounty	state	latitude	longitude	nycParkName	nycParkId	propertyOwner
69th Street Pier, Bay Ridge	Upper Harbor	Brooklyn	NY	40.639242	-74.037033	Shore Park and Parkway	B082	NYC Department of Parks and Recreation
79th St Boat Basin, Riverside Park	Hudson River	Manhattan	NY	40.786163	-73.986072	Riverside Park	M071	NYC Department of Parks and Recreation
Alley Pond Environmental Center, Queens	Little Neck Bay	Queens	NY	40.761878	-73.751065	Alley Pond Park	Q001	NYC Department of Parks and Recreation
Anable Basin, Long Island City	Anable Basin	Queens	NY	40.747968	-73.954369			Plaxall Inc.
Bar Beach, North Hempstead Beach Park	Hempstead Harbor	Hempstead	NY	40.82939777	-73.65509033			
Battery Park (east end of promenade)	Upper Harbor	Manhattan	NY	40.70089	-74.015103	The Battery 	M005	NYC Department of Parks and Recreation
Baylander, West Harlem Piers Park	Hudson River	Manhattan	NY	40.819091	-73.962223			USS Baylander
Beczak Science Center, Yonkers	Hudson River	Yonkers	NY	40.938549	-73.902963			Sarah Lawrence Center for the Urban River at Beczak
Brooklyn Navy Yard, Harbor School Base	Wallabout Bay	Brooklyn	NY	40.703539	-73.971073			Brooklyn Navy Yard Development Corporation
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	Brooklyn	NY	40.70583	-73.97038			Brooklyn Navy Yard Development Corporation
Bushwick Inlet Park	Bushwick Inlet	Brooklyn	NY	40.724762	-73.958797	Bushwick Inlet Park	B529	NYC Department of Parks and Recreation
Concrete Plant Park, Bronx	Bronx River	Bronx	NY	40.825501	-73.884839	Concrete Plant Park	X305	NYC Department of Parks and Recreation
Costco, Astoria	East River	Queens	NY	40.768106	-73.939444			Costco
East 107th Street Pier, East Harlem	Harlem River	Manhattan	NY	40.789122	-73.936977	East River Esplanade	M108T01	NYC Department of Parks and Recreation
East 111th Street Pier, East Harlem	Harlem River	Manhattan	NY	40.791365	-73.935338	East River Esplanade	M108T01	NYC Department of Parks and Recreation
East 203rd Street, Inwood	Harlem River	Manhattan	NY	40.860741	-73.917943			NYC Department of Small Business Services
East 61st and John Finley Walk, Upper East Side	East River	Manhattan	NY	40.759616	-73.957298	East River Walk	M108T	NYC Department of Parks and Recreation
East 76th and John Finley Walk, Upper East Side	East River	Manhattan	NY	40.76831	-73.94903	East River Walk	M108T	NYC Department of Parks and Recreation
East 90th Street Ferry Terminal, Upper East Side	East River	Manhattan	NY	40.777171	-73.942172	Carl Schurz Park	M081	NYC Department of Parks and Recreation
Gantry State Park, Long Island City	East River	Queens	NY	40.74395	-73.960048			NYS Office of Parks, Recreation, and Historic Preservation
Groundwork Hudson Valley Science Barge, Yonkers	Hudson River	Yonkers	NY	40.936127	-73.904073			
IKEA Esplanade, Red Hook	Erie Basin	Brooklyn	NY	40.669762	-74.011499			IKEA
Little Hell Gate, Randalls Island	Harlem River	Manhattan	NY	40.792281	-73.928179	Randall's Island Park	M104	NYC Department of Parks and Recreation
Lower East Side Ecology Center, East River Park	East River	Manhattan	NY	40.712723	-73.975997	John V. Lindsay East River Park	M144	NYC Department of Parks and Recreation
